PROBE_ID	PROBE_TYPE	GENE_ID	GENE_TYPE	DESCRIPTION
CATMA2A04320	E3	AT2G05580	CDS	pseudogene
CATMA2A04330	E1	AT2G05590	CDS	unknown protein
CATMA2A04340	E2	AT2G05600	CDS	unknown protein
CATMA2A04350	E1	AT2G05620	CDS	PGR5 (PROTON GRADIENT REGULATION 5)
CATMA2A04360	IE1	AT2G05630	CDS	ATG8D (autophagy gene 8-related), microtubule binding
CATMA2A04370	V2	AT2G05640	Repeat_TAIR	transposable element gene
CATMA2A04380	V1	AT2G05640	Repeat_TAIR	transposable element gene
CATMA2A04390	E3	AT2G05642	CDS	unknown protein
CATMA2A04400	E2	AT2G05645	CDS	unknown protein
CATMA2A04430	E1	AT2G05670	CDS	pseudogene
CATMA2A04450	E3	AT2G05710	CDS	aconitate hydratase, cytoplasmic, putative / citrate hydro-lyase/aconitase, putative
CATMA2A04460	E3	AT2G05720	CDS	transducin family protein / WD-40 repeat family protein
CATMA2A04480	EI2	AT2G05752	CDS	unknown protein
CATMA2A04500	E2	AT2G05760	CDS	xanthine/uracil permease family protein
CATMA2A04510	V3	AT2E04300	CDS_Eugene	EUGENE prediction
CATMA2A04515	V2	AT2G05770	Repeat_TAIR	transposable element gene
CATMA2A04540	V3	AT2G05780	Repeat_TAIR	transposable element gene
CATMA2A04550	E3	AT2G05790	CDS	glycosyl hydrolase family 17 protein
CATMA2A04560	V1	AT2G05800	Repeat_TAIR	transposable element gene
CATMA2A04570	V2	AT2G05800	Repeat_TAIR	transposable element gene
CATMA2A04580	V1	AT2G05800	Repeat_TAIR	transposable element gene
CATMA2A04590	V1	AT2G05803	CDS	unknown protein
CATMA2A04600	E1	AT2G05810	CDS	armadillo/beta-catenin repeat family protein
CATMA2A04610	V3	VANDAL18	Repeat_Element	Repeat Element: family DNA/MuDR
CATMA2A04620	E1	AT2G05830	CDS	GTP binding / translation initiation factor
CATMA2A04625	E1	AT2G05840	CDS	PAA2 (20S proteasome alpha subunit A2), peptidase
CATMA2A04630	E1	AT2G05850	CDS	SCPL38 (serine carboxypeptidase-like 38), serine carboxypeptidase
CATMA2A04660	VE2	AT2G05900	CDS	SET domain-containing protein / YDG/SRA domain-containing protein
CATMA2A04670	E1	AT2G05910	CDS	unknown protein
CATMA2A04680	EV1	AT2G05915	CDS	unknown protein
CATMA2A04690	E1	AT2G05920	CDS	subtilase family protein
CATMA2A04710	V3	AT2G05930	Repeat_TAIR	transposable element gene
CATMA2A04730	V3	AT2G05935	Repeat_TAIR	transposable element gene
CATMA2A04740	E2	AT2G05940	CDS	protein kinase, putative
CATMA2A04750	E2	AT2G05970	CDS	F-box family protein
CATMA2A04765	E1	AT2G05990	CDS	MOD1 (MOSAIC DEATH 1), enoyl-[acyl-carrier-protein] reductase (NADH)/ oxidoreductase
CATMA2A04770	E1	AT2G06000	CDS	pentatricopeptide (PPR) repeat-containing protein
CATMA2A04780	V2	AT2G06002	otherRNA	unknown
CATMA2A04790	E1	AT2G06005	CDS	unknown protein
CATMA2A04800	E1	AT2G06010	CDS	ORG4 (OBP3-RESPONSIVE GENE 4)
CATMA2A04805	E1	AT2G06020	CDS	myb family transcription factor
CATMA2A04810	EI1	AT2G06025	CDS	GCN5-related N-acetyltransferase (GNAT) family protein
CATMA2A04820	EI1	AT2G06040	CDS	unknown protein
CATMA2A04825	E1	AT2G06050	CDS	OPR3 (OPDA-REDUCTASE 3)
CATMA2A04826	V2	AT2G06060	Repeat_TAIR	transposable element gene
CATMA2A04827	V2	AT2G06080	Repeat_TAIR	transposable element gene
CATMA2A04870	V2	ATHILA8A	Repeat_Element	Repeat Element: family LTR/Gypsy
CATMA2A04880	V3	AT2G06170	Repeat_TAIR	transposable element gene
CATMA2A04970	E1	AT2G06200	CDS	AtGRF6 (GROWTH-REGULATING FACTOR 6)
CATMA2A04980	E1	AT2G06210	CDS	ELF8 (EARLY FLOWERING 8)
CATMA2A04990	E1	AT2G06255	CDS	unknown protein
CATMA2A05010	V2	AT2G06290	Repeat_TAIR	transposable element gene
CATMA2A05020	V1	AT2G06290	Repeat_TAIR	transposable element gene
CATMA2A05030	V1	AT2G06290	Repeat_TAIR	transposable element gene
CATMA2A05060	V2	AT2G06290	Repeat_TAIR	transposable element gene
CATMA2A05070	V1	AT2G06290	Repeat_TAIR	transposable element gene
CATMA2A05080	V1	AT2G06290	Repeat_TAIR	transposable element gene
CATMA2A05140	V1	AT2E04650	CDS_Eugene	EUGENE prediction
CATMA2A05160	V3	AT2G06490	Repeat_TAIR	transposable element gene
CATMA2A05170	EV2	AT2G06500	CDS	hAT dimerisation domain-containing protein / transposase-related
CATMA2A05180	E2	AT2G06510	CDS	replication protein, putative
CATMA2A05190	E1	AT2G06520	CDS	PSBX (photosystem II subunit X)
CATMA2A05200	E1	AT2G06530	CDS	SNF7 family protein
CATMA2A05210	V2	AT2G06540	Repeat_TAIR	transposable element gene
CATMA2A05230	V2	AT2G06540	Repeat_TAIR	transposable element gene
CATMA2A05250	V2	AT2G06550	Repeat_TAIR	transposable element gene
CATMA2A05260	EI2	AT2G06555	CDS	unknown protein
CATMA2A05270	V1	AT2G06560	Repeat_TAIR	transposable element gene
CATMA2A05280	V2	no_gene		
CATMA2A05290	V2	AT2E04750	CDS_Eugene	EUGENE prediction
CATMA2A05300	E2	AT2G06570	CDS	unknown protein
CATMA2A05310	V3	AT2G06580	Repeat_TAIR	transposable element gene
CATMA2A05370	V3	AT2G06650	Repeat_TAIR	transposable element gene
CATMA2A05385	V1	AT2G06660	Repeat_TAIR	transposable element gene
CATMA2A05410	V2	AT2G06760	Repeat_TAIR	transposable element gene
CATMA2A05440	V2	AT2G06770	Repeat_TAIR	transposable element gene
CATMA2A05480	V3	ATHILA8A	Repeat_Element	Repeat Element: family LTR/Gypsy
CATMA2A05500	V1	AT2E04810	CDS_Eugene	EUGENE prediction
CATMA2A05510	V1	AT2G06840	Repeat_TAIR	transposable element gene
CATMA2A05520	V2	AT2G06845	CDS	unknown protein
CATMA2A05530	E2	AT2G06845	CDS	unknown protein
CATMA2A05540	E1	AT2G06850	CDS	EXGT-A1 (ENDO-XYLOGLUCAN TRANSFERASE), hydrolase, acting on glycosyl bonds
CATMA2A05580	E3	AT2G06904	CDS	nucleic acid binding / zinc ion binding
CATMA2A05640	VE2	AT2G06912	CDS	pseudogene
CATMA2A05650	V2	ATLINE1_6	Repeat_Element	Repeat Element: family LINE/L1
CATMA2A05660	V2	AT2G06920	Repeat_TAIR	transposable element gene
CATMA2A05670	V3	AT2G06920	Repeat_TAIR	transposable element gene
CATMA2A05680	V3	AT2G06920	Repeat_TAIR	transposable element gene
CATMA2A05690	V2	AT2G06920	Repeat_TAIR	transposable element gene
CATMA2A05700	E1	AT2G06925	CDS	ATSPLA2-ALPHA/PLA2-ALPHA (PHOSPHOLIPASE A2-ALPHA), phospholipase A2
CATMA2A05710	E2	AT2G06940	CDS	pseudogene
CATMA2A05730	EV3	AT2G06960	CDS	oxidoreductase, 2OG-Fe(II) oxygenase family protein
CATMA2A05745	V2	AT2G06980	Repeat_TAIR	transposable element gene
CATMA2A05750	V1	AT2G06980	Repeat_TAIR	transposable element gene
CATMA2A05760	V2	AT2G06980	Repeat_TAIR	transposable element gene
CATMA2A05770	E1	AT2G06990	CDS	HEN2 (HUA ENHANCER 2), ATP-dependent helicase
CATMA2A05780	IE3	AT2G07000	CDS	unknown protein
CATMA2A05790	E2	AT2G07020	CDS	protein kinase family protein
CATMA2A05800	V2	AT2G07030	Repeat_TAIR	transposable element gene
CATMA2A05810	E1	AT2G07040	CDS	leucine-rich repeat transmembrane protein kinase, putative
CATMA2A05820	V2	AT2G07042	otherRNA	unknown
CATMA2A05825	E1	AT2G07050	CDS	CAS1 (CYCLOARTENOL SYNTHASE 1)
CATMA2A05830	V1	AT2G07070	Repeat_TAIR	transposable element gene
CATMA2A05840	V1	AT2G07070	Repeat_TAIR	transposable element gene
CATMA2A05865	V2	AT2G07090	Repeat_TAIR	transposable element gene
CATMA2A05880	V2	AT2G07100	Repeat_TAIR	transposable element gene
CATMA2A05890	E3	AT2G07120	CDS	F-box family protein-related
CATMA2A05930	V2	AT2G07160	Repeat_TAIR	transposable element gene
CATMA2A05940	V2	AT2G07160	Repeat_TAIR	transposable element gene
CATMA2A05950	V3	AT2G07160	Repeat_TAIR	transposable element gene
CATMA2A05960	V2	AT2G07160	Repeat_TAIR	transposable element gene
CATMA2A05970	V2	AT2G07160	Repeat_TAIR	transposable element gene
CATMA2A05980	E1	AT2G07170	CDS	binding
CATMA2A05990	E1	AT2G07180	CDS	protein kinase, putative
CATMA2A06000	E1	AT2G07190	CDS	unknown protein
CATMA2A06010	EI3	AT2G07215	CDS	unknown protein
CATMA2A06040	IE1	AT2G07240	CDS	Ulp1 protease family protein
CATMA2A06060	EV1	AT2G07290	CDS	unknown protein
CATMA2A06066	E1	AT2G07310	CDS	unknown protein
CATMA2A06070	V2	AT2G07320	Repeat_TAIR	SWIM zinc finger family protein
CATMA2A06080	V1	AT2G07330	Repeat_TAIR	transposable element gene
CATMA2A06090	E1	AT2G07340	CDS	prefoldin-related KE2 family protein
CATMA2A06100	E1	AT2G07360	CDS	SH3 domain-containing protein
CATMA2A06180	E3	AT2G07505	CDS	unknown protein
CATMA2A06223	V2	AT2G07570	Repeat_TAIR	transposable element gene
CATMA2A06230	V3	AT2G07600	CDS	pseudogene
CATMA2A06231	E3	AT2G07600	CDS	pseudogene
CATMA2A06235	V3	AT2G07630	Repeat_TAIR	transposable element gene
CATMA2A06250	EI3	AT2G07640	CDS	D2,D4-dienoyl-CoA reductase-related
CATMA2A06260	V3	AT2G07650	Repeat_TAIR	transposable element gene
CATMA2A06290	V1	ATLINE1_2	Repeat_Element	Repeat Element: family LINE/L1
CATMA2A06330	R4	AT2E05350;ATMG00516	CDS_Eugene;CDS	EUGENE prediction;Encodes subunit of mitochondrial NAD(P)H dehydrogenase that is trans-spliced from three precursors, NAD1A, NAD1B, and NAD1C.
CATMA2A06340	R4	AT2G07749;ATMG01110	CDS;CDS	unknown protein;hypothetical protein
CATMA2A06360	R4	AT2G07749;ATMG01100	CDS;CDS	unknown protein;hypothetical protein
CATMA2A06370	R4	HYPMIR_1239_1144	MIR	unknown
CATMA2A06380	E3	AT2G07777	CDS	unknown protein
CATMA2A06390	R4	AT2G07671;ATMG01080	CDS;CDS	H+-transporting two-sector ATPase, C subunit family protein;subunit 9 of mitochondrial F0-ATPase
CATMA2A06400	R4	no_gene		
CATMA2A06410	E3	AT2G07779	CDS	unknown protein
CATMA2A06430	R4	AT2G07672;ATMG01050	CDS;CDS	unknown protein;hypothetical protein
CATMA2A06450	V3	AT2G07673	CDS	unknown protein
CATMA2A06460	R4	AT2G07674;ATMG00990;ATMG01010	CDS;CDS;CDS	unknown protein;NADH dehydrogenase subunit 3;hypothetical protein
CATMA2A06470	R4	AT2G07675;ATMG00980	CDS;CDS	ribosomal protein S12 mitochondrial family protein;ribosomal protein L2
CATMA2A06480	E4	AT2G07768	CDS	pseudogene
CATMA2A06490	R4	AT2E05490	CDS_Eugene	EUGENE prediction
CATMA2A06500	R4	AT2E05500	CDS_Eugene	EUGENE prediction
CATMA2A06530	R4	AT2G07677;ATMG00940	CDS;CDS	pseudogene;hypothetical protein
CATMA2A06540	V3	AT2G07669	CDS	unknown protein
CATMA2A06550	R4	AT2G07771;AT2G07782;ATMG00900	CDS;CDS;CDS	cytochrome c biogenesis protein-related;pseudogene;cytochrome c biogenesis orf256
CATMA2A06570	V3	AT2G07682	Repeat_TAIR	transposable element gene
CATMA2A06580	V4	AT2G07682	Repeat_TAIR	transposable element gene
CATMA2A06590	R4	AT2G07783;ATMG00830	CDS;CDS	pseudogene;cytochrome c biogenesis orf382
CATMA2A06600	R4	AT2G07772	CDS	unknown protein
CATMA2A06620	V3	AT2G07685	Repeat_TAIR	transposable element gene
CATMA2A06630	R4	AT2G07685;ATMG00760	Repeat_TAIR;CDS	transposable element gene;hypothetical protein
CATMA2A06650	E3	AT2G07811	CDS	pseudogene
CATMA2A06660	R4	AT2E05640;HYPMIR_1244_1148	CDS_Eugene;MIR	EUGENE prediction;unknown
CATMA2A06670	V3	no_gene		
CATMA2A06690	R4	AT2E05670	CDS_Eugene	EUGENE prediction
CATMA2A06700	R4	AT2G07688;AT2G07792	CDS;tRNA	pseudogene;tRNA-Tyr (anticodon: GTA)
CATMA2A06710	R4	AT2G07689;ATMG01320	CDS;CDS	NADH-ubiquinone oxidoreductase, putative;encodes subunit of mitochondrial NAD(P)H dehydrogenase that is trans-spliced from two precursors, NAD2A and NAD2B.
CATMA2A06730	R4	AT2G07689;ATMG01320	CDS;CDS	NADH-ubiquinone oxidoreductase, putative;encodes subunit of mitochondrial NAD(P)H dehydrogenase that is trans-spliced from two precursors, NAD2A and NAD2B.
CATMA2A06740	R4	AT2G07689;ATMG01320	CDS;CDS	NADH-ubiquinone oxidoreductase, putative;encodes subunit of mitochondrial NAD(P)H dehydrogenase that is trans-spliced from two precursors, NAD2A and NAD2B.
CATMA2A06770	V3	AT2G07691;AT2G07692	CDS;CDS	unknown protein;unknown protein
CATMA2A06780	R4	AT2G07692;ATMG01300	CDS;CDS	unknown protein;hypothetical protein
CATMA2A06800	R4	AT2G07695;ATMG01280	CDS;CDS	cytochrome c oxidase subunit II, putative;encodes a cytochrome c oxidase subunit II
CATMA2A06810	R4	AT2G07785;ATMG01275	CDS;CDS	NADH-ubiquinone oxidoreductase, putative;Encodes subunit of mitochondrial NAD(P)H dehydrogenase that is trans-spliced from three precursors, NAD1A, NAD1B, and NAD1C.
CATMA2A06820	R4	AT2G07785	CDS	NADH-ubiquinone oxidoreductase, putative
CATMA2A06830	R4	AT2G07696;ATMG01270	CDS;CDS	ribosomal protein S7 family protein;encodes a mitochondrial ribosomal protein S7, a constituent of the small subunit of the ribosomal complex
CATMA2A06840	V3	AT2E05800	CDS_Eugene	EUGENE prediction
CATMA2A06850	V4	AT2G07697	Repeat_TAIR	transposable element gene
CATMA2A06860	R4	no_gene		
CATMA2A06870	V3	no_gene		
CATMA2A06880	R4	AT2G07698;ATMG01200	CDS;CDS	ATP synthase alpha chain, mitochondrial, putative;hypothetical protein
CATMA2A06890	R4	AT2G07698;ATMG01190	CDS;CDS	ATP synthase alpha chain, mitochondrial, putative;ATPase subunit 1
CATMA2A06900	E3	AT2G07699	CDS	pseudogene
CATMA2A06920	R4	AT2G07703	Repeat_TAIR	transposable element gene
CATMA2A06930	R4	AT2G07706	CDS	unknown protein
CATMA2A06940	R4	AT2G07706;AT2G07794;ATMG00460	CDS;tRNA;tRNA	unknown protein;tRNA-Met (anticodon: CAT);tRNA-Ile
CATMA2A06950	R4	AT2G07707	CDS	unknown protein
CATMA2A06960	R4	AT2G07707;ATMG00480	CDS;CDS	unknown protein;Encodes subunit 8 of the mitochondrial F(O) ATP synthase complex.
CATMA2A07010	R4	AT2G07709;ATMG00510	CDS;CDS	pseudogene;NADH dehydrogenase subunit 7
CATMA2A07020	R4	AT2G07709;ATMG00510	CDS;CDS	pseudogene;NADH dehydrogenase subunit 7
CATMA2A07030	R4	AT2G07709;ATMG00510	CDS;CDS	pseudogene;NADH dehydrogenase subunit 7
CATMA2A07040	R4	AT2G07709;ATMG00510	CDS;CDS	pseudogene;NADH dehydrogenase subunit 7
CATMA2A07050	R4	AT2G07709;ATMG00510	CDS;CDS	pseudogene;NADH dehydrogenase subunit 7
CATMA2A07060	V3	no_gene		
CATMA2A07070	EV3	AT2G07711	CDS	pseudogene
CATMA2A07080	E3	AT2G07711	CDS	pseudogene
CATMA2A07090	V3	AT2G07712;AT2G07786	CDS;CDS	pseudogene;pseudogene
CATMA2A07100	E3	AT2G07712	CDS	pseudogene
CATMA2A07130	R4	AT2G07713;ATMG00540	CDS;CDS	unknown protein;hypothetical protein
CATMA2A07150	V3	AT2G07714	CDS	transcription factor-related
CATMA2A07160	R4	AT2G07715;ATMG00560	CDS;CDS	ribosomal protein L2, putative;encodes a mitochondrial ribosomal protein L2, a constituent of the large subunit of the ribosomal complex
CATMA2A07170	R4	AT2G07716;ATMG00570	CDS;CDS	pseudogene;encodes a protein of unknown function. The transcript has extensive RNA editing at the 3 end. Protein has orthologous in other plants and sequence is similar to E. coli ORFs orf154 and orf131, both of unknown function. So far, similar proteins are found only in plants and prokaryotes.
CATMA2A07180	R4	AT2G07717	CDS	pseudogene
CATMA2A07190	R4	AT2G07717;ATMG00580	CDS;CDS	pseudogene;NADH dehydrogenase subunit 4
CATMA2A07220	R4	AT2G07717;ATMG00580	CDS;CDS	pseudogene;NADH dehydrogenase subunit 4
CATMA2A07230	R4	AT2G07717;ATMG00580	CDS;CDS	pseudogene;NADH dehydrogenase subunit 4
CATMA2A07240	R4	AT2G07717;AT2G07718;ATMG00580	CDS;CDS;CDS	pseudogene;cytochrome b, putative;NADH dehydrogenase subunit 4
CATMA2A07250	R4	AT2G07718;ATMG00590	CDS;CDS	cytochrome b, putative;hypothetical protein
CATMA2A07260	R4	AT2G07718	CDS	cytochrome b, putative
CATMA2A07270	R4	AT2G07718;ATMG00600	CDS;CDS	cytochrome b, putative;hypothetical protein
CATMA2A07280	R4	AT2E06260	CDS_Eugene	EUGENE prediction
CATMA2A07310	R4	AT2G07722	CDS	unknown protein
CATMA2A07320	R4	AT2G07723;ATMG00180	CDS;CDS	pseudogene;cytochrome c biogenesis orf452
CATMA2A07330	R4	AT2G07723;ATMG00180	CDS;CDS	pseudogene;cytochrome c biogenesis orf452
CATMA2A07340	R4	AT2G07815	CDS	unknown protein
CATMA2A07360	R4	AT2G07725;ATMG00210	CDS;CDS	60S ribosomal protein L5 (RPL5);encodes a mitochondrial ribosomal protein L5, a constituent of the large subunit of the ribosomal complex
CATMA2A07380	E3	AT2G07727	CDS	cytochrome b (MTCYB) (COB) (CYTB)
CATMA2A07390	R4	AT2G07728	CDS	unknown protein
CATMA2A07400	R4	AT2G07820	CDS	unknown protein
CATMA2A07410	R4	AT2G07820	CDS	unknown protein
CATMA2A07420	V3	no_gene		
CATMA2A07430	R4	ATMG00260	CDS	hypothetical protein
CATMA2A07440	R4	AT2G07733	CDS	pseudogene
CATMA2A07460	R4	AT2G07733;ATMG00285	CDS;CDS	pseudogene;encodes subunit of mitochondrial NAD(P)H dehydrogenase that is trans-spliced from two precursors, NAD2A and NAD2B.
CATMA2A07470	R4	AT2G07787	CDS	unknown protein
CATMA2A07480	R4	AT2G07787	CDS	unknown protein
CATMA2A07510	V3	no_gene		
CATMA2A07520	R4	AT2G07775	CDS	unknown protein
CATMA2A07530	R4	no_gene		
CATMA2A07540	V3	AT2E06490	CDS_Eugene	EUGENE prediction
CATMA2A07550	E3	AT2G07795	CDS	unknown protein
CATMA2A07560	E3	AT2G07739	CDS	unknown protein
CATMA2A07610	R4	AT2E06560;AT2G07701	CDS_Eugene;CDS	EUGENE prediction;unknown protein
CATMA2A07630	E1	AT2G07680	CDS	ATMRP11 (Arabidopsis thaliana multidrug resistance-associated protein 11)
CATMA2A07640	E1	AT2G07690	CDS	minichromosome maintenance family protein / MCM family protein
CATMA2A07670	V1	AT2E06620	CDS_Eugene	EUGENE prediction
CATMA2A07700	V2	AT2G07730	Repeat_TAIR	transposable element gene
CATMA2A07720	V3	ATLINE1_2	Repeat_Element	Repeat Element: family LINE/L1
CATMA2A07730	V1	AT2G07740	Repeat_TAIR	zinc knuckle (CCHC-type) family protein
CATMA2A07760	EI1	AT2G07760	CDS	zinc knuckle (CCHC-type) family protein
CATMA2A07790	V1	AT2G09820	Repeat_TAIR	transposable element gene
CATMA2A07815	V1	AT2G09860	Repeat_TAIR	transposable element gene
CATMA2A07930	E3	AT2G09990	CDS	40S ribosomal protein S16 (RPS16A)
CATMA2A07950	E3	AT2G10014	CDS	unknown protein
CATMA2A08010	V3	AT2G10130	Repeat_TAIR	transposable element gene
CATMA2A08020	V3	AT2G10130	Repeat_TAIR	transposable element gene
CATMA2A08030	V3	AT2G10150	Repeat_TAIR	transposable element gene
CATMA2A08100	V3	AT2G10205	Repeat_TAIR	transposable element gene
CATMA2A08140	V3	AT2G10210	Repeat_TAIR	transposable element gene
CATMA2A08180	V3	AT2G10240	Repeat_TAIR	transposable element gene
CATMA2A08190	V3	AT2G10250	Repeat_TAIR	transposable element gene
CATMA2A08240	E2	AT2G10260	CDS	pseudogene
CATMA2A08250	EV2	AT2G10260	CDS	pseudogene
CATMA2A08260	V3	AT2G10270	Repeat_TAIR	transposable element gene
CATMA2A08270	V2	AT2G10270	Repeat_TAIR	transposable element gene
CATMA2A08290	V3	AT2G10300	Repeat_TAIR	transposable element gene
CATMA2A08300	V3	ATLANTYS3	Repeat_Element	Repeat Element: family LTR/Gypsy
CATMA2A08320	V3	AT2G10330	Repeat_TAIR	transposable element gene
CATMA2A08340	E3	AT2G10340	CDS	unknown protein
CATMA2A08346	V1	AT2G10410	Repeat_TAIR	SADHU1-1 (SADHU NON-CODING RETROTRANSPOSON), other RNA
CATMA2A08360	E1	AT2G10430	CDS	pseudogene
CATMA2A08370	VE1	AT2G10430	CDS	pseudogene
CATMA2A08380	E3	AT2G10440	CDS	unknown protein
CATMA2A08420	V3	AT2G10240	Repeat_TAIR	transposable element gene
CATMA2A08440	V3	AT2G10240	Repeat_TAIR	transposable element gene
CATMA2A08450	V3	AT2G10250	Repeat_TAIR	transposable element gene
CATMA2A08500	E2	AT2G10260	CDS	pseudogene
CATMA2A08520	V3	AT2G10270	Repeat_TAIR	transposable element gene
CATMA2A08540	V3	AT2G10300	Repeat_TAIR	transposable element gene
CATMA2A08550	V3	ATLANTYS3	Repeat_Element	Repeat Element: family LTR/Gypsy
CATMA2A08570	V3	AT2G10330	Repeat_TAIR	transposable element gene
CATMA2A08580	V3	AT2G10330	Repeat_TAIR	transposable element gene
CATMA2A08590	V3	AT2G10330	Repeat_TAIR	transposable element gene
CATMA2A08610	E3	AT2G10340	CDS	unknown protein
CATMA2A08630	E1	AT2G10430	CDS	pseudogene
CATMA2A08650	E3	AT2G10440	CDS	unknown protein
CATMA2A08750	V2	AT2G10530	Repeat_TAIR	transposable element gene
CATMA2A08770	V1	AT2E06910	CDS_Eugene	EUGENE prediction
CATMA2A08780	V2	AT2G10540	Repeat_TAIR	transposable element gene
CATMA2A08790	V1	AT2G10540	Repeat_TAIR	transposable element gene
CATMA2A08800	E3	AT2G10550	CDS	uracil DNA N-glycosylase
CATMA2A08830	E3	AT2G10560	CDS	unknown protein
CATMA2A08840	V3	ATHILA8B	Repeat_Element	Repeat Element: family LTR/Gypsy
CATMA2A08850	V3	ATGP10	Repeat_Element	Repeat Element: family LTR/Gypsy
CATMA2A08920	V1	AT2E07030	CDS_Eugene	EUGENE prediction
CATMA2A08940	V2	AT2G10820	Repeat_TAIR	transposable element gene
CATMA2A08950	V2	AT2G10820	Repeat_TAIR	transposable element gene
CATMA2A08960	V1	AT2G10820	Repeat_TAIR	transposable element gene
CATMA2A08990	V3	AT2G10850	Repeat_TAIR	transposable element gene
CATMA2A09000	V3	AT2G10860	Repeat_TAIR	transposable element gene
CATMA2A09020	V3	AT2G10860	Repeat_TAIR	transposable element gene
CATMA2A09060	V1	AT2G10900	Repeat_TAIR	transposable element gene
CATMA2A09070	V3	AT2G10910	Repeat_TAIR	transposable element gene
CATMA2A09080	E3	AT2G10920	CDS	unknown protein
CATMA2A09090	E2	AT2G10931	CDS	unknown protein
CATMA2A09100	E1	AT2G10940	CDS	protease inhibitor/seed storage/lipid transfer protein (LTP) family protein
CATMA2A09110	E1	AT2G10950	CDS	BSD domain-containing protein
CATMA2A09120	V2	ATMU6	Repeat_Element	Repeat Element: family DNA/MuDR
CATMA2A09130	V3	ATMU6	Repeat_Element	Repeat Element: family DNA/MuDR
CATMA2A09140	EI3	AT2G10965	CDS	unknown protein
CATMA2A09150	V2	ATMU9	Repeat_Element	Repeat Element: family DNA/MuDR
CATMA2A09160	E1	AT2G10970	CDS	invertase/pectin methylesterase inhibitor family protein
CATMA2A09170	V3	AT2G10980	Repeat_TAIR	transposable element gene
CATMA2A09180	E1	AT2G11000	CDS	ATMAK10 (Arabidopsis thaliana MAK10 homologue), acetyltransferase
CATMA2A09190	E1	AT2G11000	CDS	ATMAK10 (Arabidopsis thaliana MAK10 homologue), acetyltransferase
CATMA2A09210	EI3	AT2G11010	CDS	unknown protein
CATMA2A09230	E3	AT2G11010	CDS	unknown protein
CATMA2A09260	V1	AT2E07200	CDS_Eugene	EUGENE prediction
CATMA2A09300	V1	AT2G11150	Repeat_TAIR	transposable element gene
CATMA2A09330	V3	VANDAL20	Repeat_Element	Repeat Element: family DNA/MuDR
CATMA2A09370	V3	AT2G11240	Repeat_TAIR	transposable element gene
CATMA2A09390	V1	AT2G11240	Repeat_TAIR	transposable element gene
CATMA2A09393	V2	no_gene		
CATMA2A09396	E1	AT2G11280	CDS	pseudogene
CATMA2A09400	V1	AT2G11290	Repeat_TAIR	transposable element gene
CATMA2A09520	V3	AT2G11340	Repeat_TAIR	transposable element gene
CATMA2A09540	V1	ATENSPM8	Repeat_Element	Repeat Element: family DNA/En-Spm
CATMA2A09550	V1	AT2G11410	Repeat_TAIR	transposable element gene
CATMA2A09570	EV1	AT2G11440	CDS	pseudogene
CATMA2A09620	EI2	AT2G11462	CDS	unknown protein
CATMA2A09630	E1	AT2G11520	CDS	CRCK3 (calmodulin-binding receptor-like cytoplasmic kinase 3), kinase
CATMA2A09670	E3	AT2G11570	CDS	3p-5p-exoribonuclease/ RNA binding
CATMA2A09710	E3	AT2G11626	CDS	unknown protein
CATMA2A09720	E1	AT2G11630	CDS	pseudogene
CATMA2A09740	V3	AT2G11640	Repeat_TAIR	transposable element gene
CATMA2A09780	V3	AT2G11690	Repeat_TAIR	transposable element gene
CATMA2A09800	V1	AT2G11730	Repeat_TAIR	transposable element gene
CATMA2A09910	V3	AT2G11800	Repeat_TAIR	transposable element gene
CATMA2A09920	E1	AT2G11810	CDS	MGDC (monogalactosyldiacylglycerol synthase type C), 1,2-diacylglycerol 3-beta-galactosyltransferase
CATMA2A09930	V3	AT2E07410	CDS_Eugene	EUGENE prediction
CATMA2A09950	E3	AT2G11851	CDS	unknown protein
CATMA2A09956	V1	AT2G11880	Repeat_TAIR	transposable element gene
CATMA2A09960	E1	AT2G11890	CDS	adenylate cyclase
CATMA2A09965	EV1	AT2G11890;AT2G11891	CDS;CDS	adenylate cyclase;unknown protein
CATMA2A09970	IE1	AT2G11910	CDS	unknown protein
CATMA2A09980	V3	AT2E07460	CDS_Eugene	EUGENE prediction
CATMA2A10000	E3	AT2G11930	CDS	pseudogene
CATMA2A10010	V3	AT2G11940	Repeat_TAIR	transposable element gene
CATMA2A10050	V2	AT2G12020	Repeat_TAIR	transposable element gene
CATMA2A10146	E1	AT2G12160	CDS	pseudogene
CATMA2A10170	V1	AT2G12195	Repeat_TAIR	transposable element gene
CATMA2A10180	V3	AT2G12195	Repeat_TAIR	transposable element gene
CATMA2A10190	V3	AT2G12195	Repeat_TAIR	transposable element gene
CATMA2A10210	V3	AT2G12270	Repeat_TAIR	transposable element gene
CATMA2A10220	V3	AT2E07560	CDS_Eugene	EUGENE prediction
CATMA2A10290	V2	AT2G12340	Repeat_TAIR	transposable element gene
CATMA2A10400	V2	AT2G12385	Repeat_TAIR	transposable element gene
CATMA2A10420	E1	AT2G12400	CDS	unknown protein
CATMA2A10430	E1	AT2G12405	CDS	unknown protein
CATMA2A10440	V2	no_gene		
CATMA2A10450	E2	AT2G12408	CDS	pseudogene
CATMA2A10460	V3	AT2G12420	Repeat_TAIR	transposable element gene
CATMA2A10480	V1	AT2G12430	Repeat_TAIR	transposable element gene
CATMA2A10500	V3	AT2G12440	Repeat_TAIR	transposable element gene
